title,image_url,link_url,link_type,platform_name
Noiz,http://www.asahi-net.or.jp/~cs8k-cyu/ww/noiz1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/ww/noiz.html,detail,wonder_witch
Barrage Reactor,http://www.asahi-net.or.jp/~cs8k-cyu/piece/br_0.gif,http://www.asahi-net.or.jp/~cs8k-cyu/piece/br.html,detail,piece
fukuro,http://www.asahi-net.or.jp/~cs8k-cyu/piece/fukuro_0.gif,http://www.asahi-net.or.jp/~cs8k-cyu/piece/fukuro.html,detail,piece
Speed Barricade,http://www.asahi-net.or.jp/~cs8k-cyu/piece/sbrg_0.gif,http://www.asahi-net.or.jp/~cs8k-cyu/piece/sbrg.html,detail,piece
PingPongDash,http://www.asahi-net.or.jp/~cs8k-cyu/piece/ppdash_0.gif,undefined,detail,piece
Re: W32/Badtrance,http://www.asahi-net.or.jp/~cs8k-cyu/piece/re_pst_small.gif,http://www.asahi-net.or.jp/~cs8k-cyu/piece/re.html,detail,piece
OnCradleOn,undefined,http://www.asahi-net.or.jp/~cs8k-cyu/palm/oncrdon.html,detail,palm
Palm Adventure,http://www.asahi-net.or.jp/~cs8k-cyu/palm/pavg.gif,http://www.asahi-net.or.jp/~cs8k-cyu/palm/pavg.html,detail,palm
ATTT,http://www.asahi-net.or.jp/~cs8k-cyu/palm/attt.gif,http://www.asahi-net.or.jp/~cs8k-cyu/palm/attt.html,detail,palm
Machiko Make,http://www.asahi-net.or.jp/~cs8k-cyu/palm/mckm.gif,http://www.asahi-net.or.jp/~cs8k-cyu/palm/mckm.html,detail,palm
Noiz,http://www.asahi-net.or.jp/~cs8k-cyu/palm/noiz1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/palm/noiz.html,detail,palm
Hetare Tokei,http://www.asahi-net.or.jp/~cs8k-cyu/palm/flptime1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/palm/flptime.html,detail,palm
SOROBAN FREAKS,http://www.asahi-net.or.jp/~cs8k-cyu/palm/soroban1.gif,http://www.asahi-net.or.jp/~cs8k-cyu/palm/srbn.html,detail,palm
